,Rank,University,Country,Overall_Score,Year
0,1,麻省理工学院Massachusetts Institute of Technology,United States,100.0,2015
1,2,剑桥大学University of Cambridge,United Kingdom,99.4,2015
2,2,帝国理工学院Imperial College London,United Kingdom,99.4,2015
3,4,哈佛大学Harvard University,United States,99.3,2015
4,5,牛津大学University of Oxford,United Kingdom,99.2,2015
5,5,伦敦大学学院University College London,United Kingdom,99.2,2015
6,7,斯坦福大学Stanford University,United States,98.3,2015
7,8,加利福尼亚理工学院California Institute of Technology ,United States,97.1,2015
8,9,普林斯顿大学Princeton University,United States,96.6,2015
9,10,耶鲁大学Yale University,United States,96.5,2015
10,11,芝加哥大学The University of Chicago,United States,95.5,2015
11,12,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,95.3,2015
12,13,宾夕法尼亚大学University of Pennsylvania,United States,94.5,2015
13,14,约翰霍普金斯大学Johns Hopkins University,United States,94.1,2015
14,14,哥伦比亚大学Columbia University ,United States,94.1,2015
15,16,伦敦国王学院King's College London,United Kingdom,92.9,2015
16,17,爱丁堡大学The University of Edinburgh,United Kingdom,92.8,2015
17,17,Ecole Polytechnique Fédérale de Lausanne,Switzerland,92.8,2015
18,19,康奈尔大学Cornell University,United States,92.6,2015
19,20,多伦多大学University of Toronto,Canada,92.4,2015
20,21,麦吉尔大学McGill University,Canada,91.5,2015
21,22,National University of Singapore ,Singapore,91.1,2015
22,23,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,90.3,2015
23,24,"Ecole normale supérieure, Paris",France,90.2,2015
24,25,澳大利亚国立大学The Australian National University,Australia,89.7,2015
25,25,杜克大学Duke University,United States,89.7,2015
26,27,"University of California, Berkeley ",United States,89.5,2015
27,28,The University of Hong Kong,Hong Kong,88.8,2015
28,29,布里斯托大学University of Bristol,United Kingdom,88.5,2015
29,30,曼彻斯特大学The University of Manchester,United Kingdom,86.9,2015
30,31,The University of Tokyo,Japan,86.7,2015
31,31,Seoul National University,South Korea,86.7,2015
32,33,墨尔本大学The University of Melbourne,Australia,86.5,2015
33,34,西北大学Northwestern University,United States,86.0,2015
34,35,Ecole Polytechnique,France,85.0,2015
35,36,Kyoto University,Japan,84.7,2015
36,37,"University of California, Los Angeles ",United States,84.3,2015
37,37,悉尼大学The University of Sydney,Australia,84.3,2015
38,39,"Nanyang Technological University, Singapore ",Singapore,84.0,2015
39,40,The Hong Kong University of Science and Technology,Hong Kong,83.3,2015
40,41,New York University ,United States,82.5,2015
41,41,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,82.5,2015
42,43,英属哥伦比亚大学University of British Columbia,Canada,82.4,2015
43,43,昆士兰大学The University of Queensland,Australia,82.4,2015
44,45,University of Copenhagen,Denmark,82.0,2015
45,46,The Chinese University of Hong Kong,Hong Kong,81.9,2015
46,47,Tsinghua University,China,81.3,2015
47,48,新南威尔士大学The University of New South Wales,Australia,81.2,2015
48,49,Ruprecht-Karls-Universität Heidelberg,Germany,81.1,2015
49,50,University of Amsterdam,Netherlands,80.5,2015
50,51,KAIST - Korea Advanced Institute of Science & Technology,South Korea,79.9,2015
51,52,Ludwig-Maximilians-Universität München,Germany,79.8,2015
52,52,布朗大学Brown University,United States,79.8,2015
53,54,Technical University Munich,Germany,79.7,2015
54,55,Osaka University,Japan,79.6,2015
55,55,格拉斯哥大学University of Glasgow,United Kingdom,79.6,2015
56,57,Peking University,China,78.8,2015
57,57,University of Zurich,Switzerland,78.8,2015
58,59,"University of California, San Diego ",United States,78.6,2015
59,60,Lund University,Sweden,78.3,2015
60,61,华威大学The University of Warwick,United Kingdom,78.1,2015
61,62,"University of North Carolina, Chapel Hill",United States,77.5,2015
62,63,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,76.9,2015
63,64,伯明翰大学University of Birmingham,United Kingdom,76.7,2015
64,65,University of Washington,United States,76.5,2015
65,65,卡内基梅隆大学Carnegie Mellon University,United States,76.5,2015
66,67,University of Helsinki,Finland,76.4,2015
67,68,Tokyo Institute of Technology,Japan,76.3,2015
